[22:54:15] 28800 frames at 1920x1080
[22:54:15] tile 224px (resized to 224 for the model), stride 112, 153 tiles/frame
[23:37:07] 007077.jpg tile=(784,448) offset=(-64, 20) repair-heal (great) (1.000)
[23:37:07] 007078.jpg tile=(784,448) offset=(-64, 20) repair-heal (great) (1.000)
[23:37:07] 007079.jpg tile=(784,448) offset=(-64, 20) repair-heal (great) (1.000)
[23:37:08] 007080.jpg tile=(784,448) offset=(-64, 20) repair-heal (great) (1.000)
[23:37:08] 007081.jpg tile=(784,448) offset=(-64, 20) repair-heal (great) (1.000)
[23:37:15]   7100/28800 frames, 2.8 fps, ~131.4 min left
[23:37:47] 007190.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (1.000)
[23:37:48] 007191.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (1.000)
[23:37:48] 007192.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (1.000)
[23:37:48] 007193.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (1.000)
[23:37:49] 007194.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (1.000)
[23:37:49] 007195.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (1.000)
[23:37:50] 007196.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (1.000)
[23:37:50] 007197.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (1.000)
[23:37:50] 007198.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (1.000)
[23:37:51] 007199.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (1.000)
[23:37:51]   7200/28800 frames, 2.8 fps, ~130.8 min left
[23:37:51] 007200.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (1.000)
[23:37:52] 007201.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (1.000)
[23:37:52] 007202.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (1.000)
[23:37:52] 007203.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (0.999)
[23:37:53] 007204.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.927)
[23:37:53] 007205.jpg tile=(896,448) offset=(48, 20) repair-heal (great) (1.000)
[23:37:54] 007206.jpg tile=(784,448) offset=(-64, 20) repair-heal (great) (1.000)
[23:37:54] 007207.jpg tile=(784,448) offset=(-64, 20) repair-heal (great) (1.000)
[23:37:54] 007208.jpg tile=(784,448) offset=(-64, 20) repair-heal (great) (1.000)
